candidate_id,gender,age,education_level,years_experience,skills_score,hired
1,Male,21,Tier2,7,78,1
2,Female,26,Tier2,2,45,0
3,Female,38,Tier2,7,56,1
4,Male,28,Tier3,4,98,0
5,Male,27,Tier2,0,64,1
6,Male,21,Tier1,6,96,1
7,Male,36,Tier3,4,67,0
8,Female,32,Tier3,5,41,0
9,Female,26,Tier3,5,74,1
10,Female,22,Tier3,7,76,1
11,Male,34,Tier2,8,44,0
12,Female,24,Tier2,1,40,0
13,Female,21,Tier3,8,79,0
14,Male,38,Tier3,10,51,0
15,Male,33,Tier1,9,95,1
16,Male,22,Tier1,8,75,1
17,Male,29,Tier2,9,84,1
18,Male,22,Tier3,9,62,1
19,Male,29,Tier3,6,86,1
20,Male,21,Tier1,0,70,0
21,Female,31,Tier2,6,50,0
22,Male,23,Tier2,9,49,0
23,Male,24,Tier3,4,42,0
24,Male,38,Tier3,5,93,1
25,Male,26,Tier3,9,53,0
26,Female,23,Tier2,6,55,0
27,Male,31,Tier2,4,49,1
28,Male,35,Tier1,6,68,1
29,Male,25,Tier1,8,49,0
30,Male,30,Tier3,2,51,0
31,Female,32,Tier3,7,69,1
32,Male,35,Tier3,1,80,1
33,Male,37,Tier3,10,40,1
34,Female,30,Tier2,6,44,0
35,Female,26,Tier3,1,59,1
36,Female,38,Tier3,3,47,1
37,Male,33,Tier3,6,82,1
38,Male,23,Tier1,2,51,0
39,Female,30,Tier2,1,40,0
40,Male,34,Tier1,10,96,1
41,Male,26,Tier3,9,93,1
42,Male,23,Tier2,6,59,1
43,Male,36,Tier1,0,67,1
44,Female,27,Tier2,7,96,0
45,Male,34,Tier2,2,82,1
46,Female,29,Tier2,1,76,0
47,Male,35,Tier1,2,86,1
48,Male,23,Tier2,4,76,1
49,Male,22,Tier2,10,51,1
50,Male,22,Tier3,7,76,0
51,Female,23,Tier2,9,88,0
52,Female,38,Tier3,6,88,1
53,Female,34,Tier2,6,95,0
54,Female,38,Tier2,6,83,1
55,Male,30,Tier3,7,95,0
56,Female,22,Tier2,0,67,1
57,Male,21,Tier1,3,86,1
58,Male,24,Tier1,5,54,1
59,Male,34,Tier3,8,45,1
60,Male,21,Tier2,1,83,1
61,Male,34,Tier3,0,98,0
62,Male,36,Tier1,9,59,1
63,Female,34,Tier1,1,89,1
64,Male,23,Tier1,6,53,1
65,Male,23,Tier2,2,41,0
66,Male,29,Tier2,9,48,1
67,Male,26,Tier2,1,76,1
68,Female,33,Tier2,10,59,0
69,Male,22,Tier3,6,65,0
70,Female,28,Tier2,1,68,0
71,Female,22,Tier2,2,40,0
72,Male,24,Tier3,10,94,1
73,Male,35,Tier2,6,74,1
74,Female,24,Tier2,3,45,0
75,Female,33,Tier3,0,76,1
76,Female,32,Tier3,4,92,0
77,Female,33,Tier1,8,98,1
78,Male,34,Tier3,7,44,1
79,Male,38,Tier2,8,72,0
80,Male,26,Tier1,9,88,1
81,Female,31,Tier2,8,90,0
82,Female,22,Tier3,6,53,1
83,Male,39,Tier2,3,51,1
84,Male,39,Tier2,4,81,1
85,Male,25,Tier2,0,59,1
86,Male,39,Tier1,0,92,1
87,Female,22,Tier1,2,89,1
88,Female,30,Tier1,7,63,1
89,Female,22,Tier1,1,98,0
90,Male,31,Tier1,3,82,1
91,Male,38,Tier1,1,73,0
92,Female,35,Tier2,4,64,0
93,Female,29,Tier1,8,89,1
94,Male,39,Tier2,0,68,0
95,Female,29,Tier3,4,96,1
96,Male,23,Tier2,8,78,1
97,Male,29,Tier2,0,70,1
98,Male,34,Tier1,8,95,1
99,Male,39,Tier1,7,86,1
100,Male,27,Tier1,3,82,1
101,Male,36,Tier1,10,89,1
102,Female,36,Tier1,9,62,0
103,Male,21,Tier1,4,83,1
104,Male,24,Tier1,4,77,1
105,Female,24,Tier1,10,59,1
106,Male,27,Tier2,5,62,1
107,Male,28,Tier1,6,84,1
108,Female,37,Tier2,7,91,0
109,Male,25,Tier2,7,55,1
110,Male,27,Tier2,10,89,1
111,Male,24,Tier1,1,81,1
112,Male,26,Tier3,8,99,1
113,Female,27,Tier2,6,94,0
114,Female,38,Tier1,3,47,1
115,Female,25,Tier3,3,89,0
116,Female,23,Tier3,10,60,0
117,Female,27,Tier1,7,40,1
118,Male,34,Tier1,3,94,1
119,Female,27,Tier3,5,47,0
120,Male,25,Tier3,4,68,0
121,Female,25,Tier1,2,71,0
122,Female,22,Tier1,9,77,1
123,Male,26,Tier2,10,44,0
124,Male,35,Tier2,1,86,1
125,Male,30,Tier2,8,61,0
126,Male,27,Tier2,9,86,1
127,Female,25,Tier2,8,73,0
128,Female,21,Tier3,0,40,0
129,Male,33,Tier1,9,94,1
130,Male,38,Tier1,2,94,1
131,Male,33,Tier3,7,65,1
132,Male,38,Tier3,5,82,0
133,Male,25,Tier2,4,49,1
134,Male,33,Tier2,4,69,0
135,Female,24,Tier1,5,89,1
136,Male,37,Tier2,6,57,0
137,Male,23,Tier2,0,56,1
138,Female,37,Tier1,8,65,1
139,Male,31,Tier1,2,47,1
140,Female,24,Tier2,3,86,0
141,Female,22,Tier1,9,79,1
142,Male,36,Tier2,0,88,1
143,Male,38,Tier1,10,51,1
144,Male,28,Tier2,9,66,1
145,Male,23,Tier1,2,47,1
146,Male,29,Tier3,1,64,0
147,Female,26,Tier2,1,85,0
148,Male,30,Tier2,0,43,0
149,Male,30,Tier3,7,72,0
150,Male,33,Tier2,2,40,0
151,Female,37,Tier1,2,58,0
152,Male,29,Tier2,5,70,0
153,Male,37,Tier2,7,55,1
154,Male,29,Tier3,8,53,1
155,Female,29,Tier2,8,92,1
156,Male,21,Tier1,3,87,1
157,Female,22,Tier1,4,44,1
158,Female,36,Tier2,1,80,1
159,Male,21,Tier2,10,65,0
160,Female,30,Tier2,8,67,0
161,Male,38,Tier2,7,41,1
162,Female,28,Tier3,2,89,0
163,Female,31,Tier2,10,45,1
164,Male,22,Tier1,8,48,1
165,Male,28,Tier1,2,72,1
166,Female,28,Tier1,8,80,1
167,Male,37,Tier1,1,64,0
168,Male,35,Tier1,9,87,1
169,Male,37,Tier1,8,52,1
170,Male,33,Tier1,7,48,0
171,Female,39,Tier1,8,92,1
172,Male,25,Tier3,4,52,1
173,Male,32,Tier1,10,70,1
174,Male,21,Tier2,10,80,1
175,Female,25,Tier2,1,50,0
176,Male,28,Tier3,7,43,0
177,Female,33,Tier1,5,73,1
178,Male,28,Tier2,7,77,0
179,Female,31,Tier3,10,85,1
180,Male,21,Tier3,4,43,0
181,Male,33,Tier3,9,77,1
182,Male,39,Tier1,1,58,1
183,Female,23,Tier1,5,45,0
184,Female,37,Tier2,4,73,0
185,Male,25,Tier3,4,57,1
186,Female,28,Tier2,0,52,0
187,Female,34,Tier2,1,80,0
188,Male,24,Tier1,7,62,1
189,Male,31,Tier3,2,58,0
190,Male,35,Tier1,9,84,1
191,Male,39,Tier2,2,50,0
192,Female,27,Tier2,7,40,1
193,Female,39,Tier2,7,63,0
194,Female,39,Tier1,1,93,1
195,Male,31,Tier1,7,46,1
196,Male,25,Tier2,10,64,1
197,Female,25,Tier1,0,60,1
198,Female,28,Tier2,5,54,0
199,Female,30,Tier1,7,40,1
200,Female,26,Tier2,2,51,0
201,Female,35,Tier2,7,97,1
202,Male,36,Tier1,0,46,0
203,Male,37,Tier2,10,54,1
204,Female,28,Tier1,10,60,1
205,Female,28,Tier1,8,58,1
206,Male,29,Tier3,10,99,1
207,Male,22,Tier2,8,68,1
208,Female,35,Tier3,4,64,0
209,Male,38,Tier1,9,72,1
210,Male,23,Tier2,3,88,1
211,Male,37,Tier3,10,71,1
212,Female,24,Tier2,5,88,1
213,Female,24,Tier2,6,74,0
214,Male,34,Tier2,4,83,1
215,Female,29,Tier2,10,77,1
216,Male,29,Tier3,9,65,0
217,Male,38,Tier3,8,50,1
218,Female,30,Tier3,2,74,0
219,Female,24,Tier1,6,47,1
220,Female,32,Tier3,9,85,0
221,Female,28,Tier3,9,53,0
222,Male,22,Tier1,10,49,1
223,Male,33,Tier1,4,41,1
224,Male,36,Tier3,6,85,1
225,Male,22,Tier2,1,48,1
226,Male,31,Tier3,3,42,1
227,Female,30,Tier1,1,60,0
228,Male,35,Tier3,6,65,1
229,Female,37,Tier1,1,47,0
230,Female,28,Tier1,10,87,0
231,Female,38,Tier1,0,41,1
232,Male,29,Tier3,8,45,1
233,Male,28,Tier2,0,67,1
234,Male,34,Tier2,7,92,1
235,Male,38,Tier2,1,68,1
236,Female,32,Tier3,7,65,1
237,Male,39,Tier2,2,64,0
238,Male,34,Tier3,5,51,1
239,Female,37,Tier2,2,44,0
240,Male,23,Tier2,6,73,0
241,Female,27,Tier2,9,87,0
242,Female,37,Tier2,8,76,0
243,Female,32,Tier3,1,54,0
244,Male,29,Tier2,4,83,1
245,Male,35,Tier1,5,75,1
246,Female,38,Tier3,3,54,0
247,Male,33,Tier2,3,82,1
248,Female,28,Tier2,3,87,1
249,Female,34,Tier3,1,62,1
250,Female,28,Tier2,3,45,0
251,Male,34,Tier1,10,85,1
252,Male,27,Tier3,0,89,1
253,Female,32,Tier2,5,83,1
254,Male,31,Tier2,0,98,1
255,Male,31,Tier1,9,82,1
256,Male,33,Tier3,5,84,0
257,Female,38,Tier2,0,60,0
258,Female,22,Tier2,5,62,0
259,Male,35,Tier3,9,82,1
260,Male,38,Tier3,7,94,0
261,Female,35,Tier1,10,55,1
262,Female,39,Tier2,1,86,1
263,Male,32,Tier1,1,92,1
264,Male,33,Tier3,3,99,1
265,Female,31,Tier1,10,54,1
266,Female,25,Tier2,2,64,1
267,Female,21,Tier3,3,75,1
268,Female,23,Tier3,6,50,1
269,Male,39,Tier2,10,90,0
270,Male,27,Tier3,0,54,0
271,Female,32,Tier1,5,43,1
272,Female,35,Tier3,2,60,1
273,Female,25,Tier1,10,52,1
274,Female,35,Tier2,9,61,0
275,Male,28,Tier3,6,58,1
276,Male,30,Tier1,9,73,1
277,Female,36,Tier1,1,53,1
278,Female,28,Tier3,1,43,0
279,Female,21,Tier3,3,87,0
280,Female,32,Tier2,0,92,1
281,Female,25,Tier2,2,91,0
282,Male,23,Tier2,8,85,1
283,Male,21,Tier1,6,66,1
284,Male,24,Tier2,6,68,1
285,Male,28,Tier1,10,86,1
286,Male,23,Tier3,3,67,0
287,Male,30,Tier2,1,74,0
288,Male,22,Tier2,3,47,0
289,Male,31,Tier2,5,55,1
290,Male,30,Tier3,10,81,1
291,Male,34,Tier1,10,75,1
292,Male,27,Tier2,2,69,1
293,Female,22,Tier2,0,57,1
294,Male,29,Tier2,7,41,1
295,Male,36,Tier1,4,88,1
296,Male,33,Tier3,4,52,0
297,Female,29,Tier3,10,43,1
298,Male,24,Tier2,3,65,0
299,Female,30,Tier2,5,64,0
300,Male,32,Tier3,2,69,1
301,Male,37,Tier3,8,50,1
302,Male,34,Tier1,4,46,1
303,Male,34,Tier2,2,70,1
304,Female,22,Tier2,10,83,0
305,Female,31,Tier2,0,49,1
306,Female,36,Tier3,9,78,1
307,Male,39,Tier3,5,52,1
308,Male,26,Tier3,1,70,1
309,Female,39,Tier2,2,46,0
310,Male,25,Tier1,0,95,0
311,Male,24,Tier3,8,88,1
312,Male,35,Tier3,7,81,1
313,Male,24,Tier1,1,81,1
314,Female,30,Tier3,10,95,0
315,Female,23,Tier3,7,75,0
316,Female,25,Tier2,8,59,0
317,Male,26,Tier2,0,43,1
318,Male,28,Tier2,4,93,1
319,Male,27,Tier1,7,46,1
320,Male,30,Tier2,10,93,1
321,Male,26,Tier3,1,40,0
322,Female,34,Tier1,3,83,1
323,Female,24,Tier2,6,95,1
324,Male,33,Tier2,2,84,0
325,Female,37,Tier2,4,81,0
326,Female,27,Tier3,7,86,0
327,Male,24,Tier2,9,98,1
328,Female,34,Tier2,2,52,0
329,Male,23,Tier3,3,94,1
330,Male,25,Tier2,8,61,1
331,Male,36,Tier1,6,93,0
332,Female,24,Tier2,0,60,0
333,Male,22,Tier1,3,61,1
334,Male,38,Tier1,3,67,1
335,Male,39,Tier2,8,48,1
336,Male,39,Tier2,5,65,1
337,Female,37,Tier3,8,48,0
338,Female,34,Tier2,5,54,1
339,Male,39,Tier2,5,49,1
340,Male,33,Tier2,4,63,1
341,Male,32,Tier1,4,97,1
342,Male,26,Tier2,1,96,1
343,Male,24,Tier1,7,81,0
344,Male,39,Tier3,7,47,1
345,Male,36,Tier1,10,63,1
346,Female,33,Tier2,0,55,0
347,Female,24,Tier1,7,88,0
348,Male,37,Tier3,4,65,0
349,Male,21,Tier2,1,66,1
350,Female,38,Tier2,1,76,1
351,Male,37,Tier1,5,43,1
352,Female,35,Tier3,10,89,1
353,Female,31,Tier1,8,63,1
354,Male,33,Tier3,0,58,1
355,Male,21,Tier1,5,75,1
356,Female,37,Tier1,8,99,1
357,Male,26,Tier1,7,78,1
358,Male,24,Tier2,10,49,0
359,Female,36,Tier2,5,64,1
360,Male,35,Tier1,2,57,1
361,Male,35,Tier3,7,58,1
362,Female,26,Tier2,8,75,1
363,Male,35,Tier2,0,49,1
364,Male,34,Tier2,8,72,1
365,Female,31,Tier2,5,94,1
366,Male,27,Tier2,5,89,1
367,Female,29,Tier1,3,44,0
368,Female,36,Tier1,0,86,1
369,Male,25,Tier3,9,88,1
370,Male,30,Tier3,7,74,1
371,Male,38,Tier2,1,83,1
372,Male,23,Tier1,0,73,1
373,Male,33,Tier2,1,72,0
374,Female,31,Tier2,0,94,0
375,Male,37,Tier1,0,60,1
376,Male,33,Tier1,8,56,0
377,Female,26,Tier3,0,61,1
378,Male,37,Tier2,3,87,1
379,Female,33,Tier1,9,76,1
380,Male,39,Tier1,5,54,1
381,Male,39,Tier1,6,74,1
382,Female,30,Tier2,1,67,0
383,Female,23,Tier1,5,46,1
384,Female,34,Tier1,6,71,1
385,Female,39,Tier3,9,50,1
386,Female,25,Tier1,9,49,1
387,Male,25,Tier2,1,48,0
388,Male,37,Tier1,1,53,0
389,Female,30,Tier1,9,52,0
390,Female,25,Tier1,6,96,1
391,Female,24,Tier3,0,64,1
392,Male,26,Tier3,7,41,1
393,Male,24,Tier3,10,74,0
394,Female,27,Tier2,2,46,0
395,Male,27,Tier2,10,60,0
396,Female,38,Tier1,5,57,1
397,Female,23,Tier1,8,42,0
398,Male,21,Tier3,5,81,0
399,Female,24,Tier1,8,93,1
400,Female,26,Tier1,6,78,1
401,Male,29,Tier1,8,80,0
402,Female,34,Tier1,1,88,1
403,Male,32,Tier1,7,50,0
404,Female,24,Tier2,7,78,0
405,Male,32,Tier2,1,63,1
406,Female,30,Tier3,3,99,1
407,Male,27,Tier3,10,85,1
408,Male,23,Tier2,6,58,0
409,Female,34,Tier1,10,43,1
410,Male,30,Tier2,3,65,1
411,Male,36,Tier2,3,77,1
412,Female,36,Tier1,5,81,1
413,Female,30,Tier2,9,71,0
414,Male,33,Tier2,5,78,0
415,Female,26,Tier2,9,84,1
416,Male,32,Tier2,2,85,0
417,Male,29,Tier1,8,75,1
418,Male,33,Tier3,9,79,1
419,Female,24,Tier3,10,76,0
420,Female,31,Tier1,1,72,1
421,Female,38,Tier3,5,75,0
422,Female,31,Tier2,6,42,1
423,Male,24,Tier3,8,48,1
424,Male,38,Tier3,2,47,0
425,Male,21,Tier2,9,72,0
426,Male,27,Tier1,2,98,1
427,Male,26,Tier1,6,45,0
428,Female,35,Tier2,3,80,0
429,Male,38,Tier2,7,78,1
430,Male,31,Tier1,6,43,1
431,Male,35,Tier1,4,52,0
432,Female,36,Tier3,6,88,1
433,Female,27,Tier3,2,99,0
434,Male,30,Tier2,1,41,0
435,Male,32,Tier1,5,99,1
436,Female,34,Tier1,1,44,0
437,Male,25,Tier1,2,83,1
438,Female,38,Tier3,5,66,0
439,Female,25,Tier1,4,71,1
440,Male,23,Tier2,7,60,0
441,Male,25,Tier1,8,47,1
442,Female,37,Tier2,10,77,1
443,Male,39,Tier2,2,47,0
444,Male,39,Tier3,9,89,1
445,Female,32,Tier1,2,42,0
446,Female,29,Tier1,2,93,0
447,Female,21,Tier1,5,83,0
448,Female,38,Tier3,0,97,0
449,Male,24,Tier3,6,42,1
450,Male,30,Tier2,0,61,0
451,Female,27,Tier2,4,45,1
452,Male,21,Tier2,9,41,0
453,Male,37,Tier1,7,62,1
454,Female,22,Tier3,3,83,1
455,Male,31,Tier2,4,41,0
456,Male,29,Tier2,3,77,0
457,Male,27,Tier2,3,56,0
458,Male,37,Tier1,7,74,1
459,Male,37,Tier1,1,73,1
460,Male,22,Tier3,0,62,1
461,Male,26,Tier1,2,69,1
462,Female,34,Tier2,8,91,1
463,Female,26,Tier1,3,47,1
464,Male,22,Tier2,9,61,1
465,Female,21,Tier1,4,83,1
466,Male,30,Tier2,1,97,1
467,Male,25,Tier3,3,75,1
468,Female,22,Tier1,1,44,0
469,Male,36,Tier2,1,52,0
470,Female,22,Tier2,3,68,0
471,Male,30,Tier2,5,70,0
472,Female,22,Tier3,6,86,1
473,Male,36,Tier3,9,96,1
474,Female,36,Tier1,2,94,1
475,Male,39,Tier1,2,55,1
476,Female,27,Tier1,9,81,0
477,Male,32,Tier2,5,69,0
478,Male,35,Tier1,2,96,1
479,Female,28,Tier2,1,94,0
480,Male,26,Tier2,7,55,1
481,Female,30,Tier2,4,51,0
482,Female,23,Tier3,0,56,0
483,Male,39,Tier1,2,55,1
484,Female,37,Tier1,9,51,0
485,Male,27,Tier3,7,47,0
486,Female,24,Tier2,3,59,0
487,Male,34,Tier2,6,42,0
488,Male,35,Tier2,9,55,1
489,Female,28,Tier1,1,69,1
490,Female,35,Tier3,6,84,1
491,Male,34,Tier3,4,62,0
492,Female,29,Tier2,4,67,1
493,Male,28,Tier1,5,90,1
494,Male,37,Tier2,8,79,1
495,Male,22,Tier2,5,93,1
496,Male,23,Tier1,7,44,1
497,Male,28,Tier3,6,59,0
498,Male,32,Tier1,8,79,1
499,Female,21,Tier3,3,95,1
500,Female,30,Tier2,1,83,1
